Char	Numbers
语		13
讲		10
杯		9
如		218
紫		3
字		45
戒		1
昙		1
搜		8
略		6
挖		2
姐		1
始		50
号		46
滥		3
重		94
学		82
屎		6
亚		6
惫		1
倦		1
巧		10
择		11
批		2
峰		1
夙		1
莫		3
吸		5
卡		5
竭		1
觊		1
鱼		3
丁		45
扛		1
掏		5
铁		4
直		71
呃		20
唇		1
忙		12
开		208
评		11
瞭		2
码		129
摩		2
掉		40
唑		1
警		25
普		8
撑		1
箱		16
禁		16
球		11
衷		1
皆		1
够		83
艺		3
放		57
旋		2
盐		2
犯		7
储		28
足		27
挽		2
宙		4
读		25
味		26
曲		4
咐		1
逃		4
咸		2
悠		1
搓		1
袋		5
决		40
该		136
敏		11
术		21
样		149
律		14
夹		50
胞		1
喉		3
竞		19
固		22
乏		1
关		77
科		26
去		151
厌		8
齐		1
全		168
审		2
疚		1
遏		1
守		5
把		158
谋		2
常		83
晰		2
遍		9
抑		1
振		1
优		7
狠		7
牙		5
熏		5
扭		3
蹦		1
食		10
饭		5
撤		1
肩		4
壮		1
等		53
页		12
然		206
击		36
南		16
胚		2
熄		1
微		15
敬		2
顺		10
扯		7
哉		1
弟		8
监		14
堡		3
坍		3
伪		1
新		131
麦		4
箭		6
奏		2
噩		2
甚		12
部		100
农		1
蚣		2
豪		5
曾		20
肿		1
宿		1
啤		4
劝		1
则		10
扒		1
于		157
贴		17
坟		1
智		4
懒		4
窗		6
响		16
途		8
挫		1
扰		3
抽		5
诱		3
另		15
辨		9
领		19
乱		11
贼		1
非		54
脆		1
迅		5
草		7
醉		6
的		2913
饱		1
尝		21
曼		1
序		88
召		2
兼		4
舔		1
御		4
屏		3
擅		1
植		2
秀		3
脏		28
维		16
诺		1
垮		3
疾		1
眼		17
职		9
冰		18
蠢		11
膛		2
谴		1
墙		26
网		126
古		3
慢		11
烙		1
哇		2
签		19
掘		2
材		1
逝		1
萎		1
吩		1
盒		4
赢		7
嘈		1
师		13
径		12
理		186
吹		1
末		6
衅		1
私		20
夸		1
硬		24
纠		1
报		33
晋		1
镜		15
悄		3
刮		1
懵		1
爸		13
圆		2
庆		3
谢		105
联		43
枉		1
咆		3
购		8
么		238
尬		4
妇		4
访		24
嗯		5
缀		1
裤		5
哀		3
撞		13
奢		1
蠕		5
复		75
仰		1
架		6
尺		5
忘		19
害		15
族		4
主		76
牢		5
友		36
极		35
淋		1
点		130
宏		1
覆		2
疗		26
温		5
拉		7
登		16
危		6
触		2
猎		1
牧		1
市		22
参		23
板		20
兜		3
肯		14
没		205
祈		1
疲		1
严		16
哎		5
曝		1
侧		1
福		5
虽		43
捏		1
柜		1
征		5
抹		5
桌		7
墨		4
构		8
训		6
博		2
似		21
旅		1
到		464
方		123
餐		5
逼		23
跃		1
丛		1
根		27
辉		1
勇		1
绕		8
西		61
言		24
康		1
积		2
沙		8
饲		2
迫		2
防		35
弄		8
勒		2
窃		8
凿		2
腰		1
哮		3
转		23
前		140
除		77
探		3
形		23
吐		4
瞧		3
详		12
轮		4
丝		5
惚		4
动		135
谷		2
围		5
吞		1
威		15
弹		12
打		61
阱		2
楼		10
宅		1
万		17
溶		1
户		90
啊		51
套		34
军		7
伟		5
氛		1
日		30
辱		1
搭		3
耳		4
坐		8
矩		2
产		46
赚		9
亲		32
情		101
封		40
志		19
狱		4
排		14
恍		4
武		8
浆		1
那		187
穿		13
吼		2
皱		1
容		28
九		1
耗		3
渴		2
抗		1
松		4
傻		16
正		111
纯		5
灵		6
朵		1
褛		2
励		1
附		32
袭		2
刚		40
偏		2
申		10
乎		22
逗		2
冒		5
瑞		2
烫		1
邀		14
捡		1
恭		13
慎		3
弱		4
瞅		2
蒙		2
查		121
地		158
委		3
巡		1
间		79
璃		2
删		58
奖		2
尤		5
街		4
低		13
各		26
大		182
床		3
年		35
爹		2
措		9
炼		14
洁		1
出		216
梦		3
继		34
溜		1
广		9
楚		9
缺		8
释		9
呆		3
脑		73
滩		9
薄		1
擀		1
素		4
香		13
件		484
由		55
赤		1
锅		1
马		26
挠		1
览		5
刷		10
执		23
呢		25
描		23
嗑		2
原		30
骸		1
辑		4
真		103
腻		1
媒		5
难		26
酮		3
失		30
颤		1
圾		6
枪		15
币		1
灭		8
乙		1
糖		7
妨		1
独		23
况		38
位		102
问		114
翔		2
障		4
噬		1
次		87
送		32
吓		16
应		92
青		1
绝		23
向		67
抡		1
钉		1
买		19
盗		6
翻		5
忽		4
增		10
德		2
较		6
冬		1
战		30
掌		2
陷		8
妙		4
洞		14
此		57
意		140
纽		2
活		55
幸		6
置		45
剧		15
恒		1
某		32
挚		1
给		177
衰		1
属		19
互		14
盎		2
荷		2
殖		1
水		21
熬		2
骇		2
汤		4
拐		1
获		47
悔		1
液		1
阻		25
潜		9
蒸		1
痴		9
牲		1
砾		1
贸		1
姨		2
丐		1
翅		1
桑		1
绩		6
贺		15
它		238
舍		2
摘		3
戳		7
眶		1
帖		8
耸		2
名		141
拳		3
躏		1
腐		4
扇		3
若		3
及		23
这		842
长		26
添		16
妥		2
闭		12
杉		1
僵		2
悬		1
吧		106
亏		1
适		17
胜		9
房		12
致		18
瘫		9
慕		1
搏		21
治		4
夜		6
畅		1
桶		1
般		17
惑		1
指		58
展		31
解		107
苍		1
阿		3
峻		1
怖		1
嵌		3
挑		11
幕		3
拯		1
续		33
假		9
倒		8
繁		1
毛		4
派		4
蜈		2
减		3
其		92
弊		1
招		25
管		96
嘶		2
帽		2
第		50
讼		1
别		60
毕		4
步		41
创		19
传		64
底		16
虎		2
蜥		1
采		10
所		205
台		30
付		15
捣		1
答		12
习		7
哼		1
扩		4
静		9
迹		6
赏		1
蹂		1
赖		2
玻		2
量		55
旦		19
哟		5
了		970
颅		1
检		26
蒜		1
脉		1
带		24
良		13
勤		4
握		5
块		16
快		48
掩		3
降		7
暴		10
妹		13
糕		1
逸		1
侦		1
园		4
壶		2
返		5
局		14
服		238
朗		1
货		71
七		2
程		142
认		39
注		72
抄		1
像		44
叫		31
深		21
阶		5
姆		1
含		15
刺		3
谎		2
退		14
崩		5
秒		4
织		61
擦		4
家		116
份		77
啪		3
供		67
口		76
工		156
余		6
值		16
权		43
尖		6
侠		1
嚣		3
病		22
事		163
游		67
每		40
十		13
以		372
糟		3
规		12
端		71
堆		3
候		71
磁		3
两		51
很		128
饼		8
格		23
菌		2
已		197
是		867
尔		8
艘		1
利		56
堂		5
天		84
阴		5
同		106
梯		3
银		6
连		96
速		30
满		19
甸		2
精		13
炫		2
骚		1
阵		2
恋		4
旧		3
议		33
持		37
戏		66
验		17
摧		19
讶		5
克		8
乳		2
引		11
妓		1
嘲		3
盖		5
承		12
绍		7
劳		5
拜		2
誉		5
浪		8
函		3
膀		3
保		84
恰		2
代		69
既		5
螺		1
攫		2
淹		1
从		87
热		8
几		43
甜		3
喃		2
久		19
六		3
诊		2
选		21
汗		1
突		11
角		17
书		11
苯		1
碗		3
投		12
骗		9
咱		5
顾		6
午		6
叉		2
播		6
匿		10
风		10
榜		1
愤		1
你		1208
胳		1
忆		1
淡		5
羊		3
按		27
龄		1
噪		3
吗		66
颖		1
摔		1
症		1
坛		5
妈		45
鲜		8
歌		3
个		706
丈		1
刻		15
法		116
象		23
阅		9
烁		3
胀		1
袍		2
厕		1
驳		3
寻		27
捐		1
清		40
记		112
蛛		1
酩		1
占		12
蒂		1
推		10
闹		1
皮		3
昨		6
谍		1
颜		2
玉		1
仇		6
例		16
短		4
甩		5
石		6
霍		2
译		21
证		43
称		15
元		7
蛋		15
嚎		1
灰		4
再		78
诈		3
业		30
椒		3
结		48
佩		2
售		10
猜		11
捕		1
善		10
女		27
功		49
授		8
鸟		1
闪		6
慰		4
操		64
抖		1
八		3
故		7
垄		2
器		302
诉		40
渐		2
富		6
空		33
逐		1
漫		7
睛		3
忧		2
塑		1
串		6
后		197
昭		1
睡		2
百		5
也		147
罐		1
亮		12
未		46
缸		1
光		24
涉		3
阳		1
做		88
暗		8
琴		1
额		9
胁		11
模		38
劣		2
卫		4
懂		11
诗		1
针		5
澄		1
侏		1
吻		1
兴		10
督		1
森		1
有		586
蛇		4
社		10
才		41
摄		3
棒		7
穷		2
好		254
遭		4
东		53
宠		1
策		18
累		1
调		90
怎		38
护		24
皇		2
又		19
临		6
艾		2
测		84
配		41
陪		1
仪		4
们		791
蟒		1
稿		1
舌		3
华		1
轰		1
上		368
侍		1
奶		1
司		123
鼾		1
尸		4
鸣		1
葬		1
涨		2
旗		1
怨		3
境		5
屋		1
录		100
咙		3
敲		8
砖		5
取		62
白		43
树		2
座		5
即		30
老		38
予		1
童		7
仔		8
仍		17
棘		2
压		7
础		9
羞		1
鉴		1
矛		1
急		14
版		46
案		30
酷		2
抱		6
避		10
赫		2
永		14
嘎		2
叶		2
赋		4
或		84
庭		8
默		6
凭		1
初		28
丑		3
爷		2
篇		4
育		6
愈		1
隆		3
姓		5
种		94
订		5
聘		19
拓		2
蔥		1
塔		2
费		19
拷		2
医		35
尊		5
惹		8
喔		2
呕		1
册		3
偷		22
矶		1
任		179
菊		2
衫		6
之		127
屌		4
盾		2
险		12
瞒		4
宾		1
蜻		1
遇		13
责		15
气		25
燃		1
见		48
毁		16
当		125
鼻		4
荐		4
丧		1
血		8
喜		39
源		51
补		17
州		3
厉		3
总		20
资		45
帝		3
美		26
汽		2
洽		1
澳		1
洪		4
察		8
还		147
奴		1
担		13
匙		7
请		109
幽		1
嗨		5
酬		4
基		39
民		3
距		4
恶		47
烈		6
依		5
迟		5
亡		14
彩		7
填		5
吃		16
世		34
朋		25
包		48
伯		2
拒		3
拟		24
倾		4
蕾		1
泥		2
机		135
慷		1
靠		13
堪		1
痪		9
瘾		1
蔓		2
喘		1
紧		16
尘		3
何		66
挤		1
冷		3
毫		6
冤		2
词		9
举		4
揉		3
海		12
唯		9
生		129
辛		3
拍		7
佛		4
荡		3
曜		1
桩		1
坠		1
要		380
必		45
质		16
颠		2
劲		4
怪		20
而		131
尼		3
弦		3
品		62
蜂		3
更		89
岁		10
限		37
扳		1
拖		3
文		300
财		3
寓		1
兹		1
涵		3
干		49
疼		3
符		13
就		301
喷		5
哪		25
影		18
苦		10
频		11
尾		5
晚		12
达		17
稍		7
睾		1
离		34
纱		2
狗		4
肮		2
酱		1
麻		22
槽		13
安		122
逛		4
献		7
势		2
得		178
稽		2
预		4
残		4
叙		1
止		46
挨		2
扶		1
肉		11
需		150
挂		4
猪		3
爬		3
手		113
幻		3
谓		5
追		49
夫		5
提		112
胺		2
介		13
鹽		1
努		17
强		23
吉		1
寥		2
使		161
竟		3
俱		1
魂		3
钩		1
偿		1
均		5
祝		45
义		11
车		24
呼		3
邪		2
饮		3
蹭		1
父		29
絮		1
厨		3
飞		12
胸		5
显		42
希		90
室		16
姑		1
嘿		16
涌		1
谜		3
呋		1
旨		2
滤		2
款		28
施		11
建		37
腾		1
哦		7
戴		10
荣		2
花		25
延		6
孩		14
裂		2
敢		13
着		127
健		2
括		10
态		14
夺		2
撒		2
色		48
扼		1
巫		3
历		18
叹		1
最		149
相		60
牺		1
明		105
烤		4
弥		1
圈		4
时		261
馅		1
膊		1
身		50
料		29
视		23
待		26
抓		5
咒		1
玫		3
落		7
隐		15
诡		1
膏		1
背		9
息		86
雏		1
篡		2
冻		2
厅		1
体		34
研		23
搞		25
宜		2
洲		10
异		13
岂		1
朝		3
红		11
馆		4
卖		11
盘		17
厂		8
拆		2
题		91
乞		1
行		215
段		31
枯		1
辣		4
太		55
耀		4
充		11
官		9
跳		11
衬		5
菠		1
遵		3
秘		15
趋		1
塌		3
寐		1
顶		7
却		11
比		55
山		14
孤		2
便		37
坑		3
抢		1
弘		1
霉		1
震		6
慨		1
豆		8
店		59
半		8
中		196
貌		6
惊		18
漏		15
小		84
折		7
宗		2
泰		2
昏		2
须		33
偶		2
外		79
争		29
波		9
挥		3
晃		1
暂		9
面		73
国		19
谨		1
型		20
受		65
她		45
罚		3
彻		5
烂		6
道		105
析		13
立		30
判		9
界		35
霸		1
悲		3
诸		2
鹅		1
现		163
塞		7
瑰		3
佳		4
摆		3
入		135
交		41
弯		1
滑		6
布		32
火		43
怀		3
溅		1
跑		12
刀		5
子		143
免		14
扫		23
可		308
怕		5
梭		1
域		16
茉		1
骂		4
起		134
线		50
扬		1
黄		1
越		12
聊		14
运		99
焰		2
率		19
专		31
帅		1
胡		2
砂		1
耻		1
沃		1
砸		9
宽		3
销		12
王		5
变		29
渠		1
双		10
性		55
斜		1
电		101
琐		1
涯		3
拿		24
僻		2
循		4
流		28
雇		22
跨		5
啦		3
辈		3
改		38
范		4
眉		2
衡		6
桃		1
溢		2
孔		1
袖		1
弃		6
披		1
赶		14
力		69
圣		3
醒		14
肆		2
壁		2
巨		35
徒		1
扣		5
涡		1
但		125
瓜		1
公		157
鼓		1
张		13
浏		5
笑		8
横		1
棵		1
求		54
男		11
冠		1
哺		1
莉		2
钮		5
练		5
激		35
切		29
伤		7
唤		2
沾		1
蛮		1
表		59
哈		71
知		114
瞄		1
星		45
斯		6
蓝		4
居		14
左		2
泄		2
闲		4
辅		1
究		21
三		18
溃		5
婊		1
会		316
疏		4
丽		1
备		173
撸		1
剖		1
益		6
欺		2
哑		1
婴		1
尚		1
蹈		1
些		195
移		17
讨		15
据		99
址		31
卧		7
启		24
束		10
履		2
凶		3
音		31
恼		2
汇		2
鞋		1
颈		1
痕		3
散		10
来		444
坦		2
令		86
己		76
考		32
祷		1
北		7
式		77
闻		6
河		1
照		18
肠		1
爱		18
豫		1
惩		1
询		9
掰		1
钝		1
筛		1
掀		1
愉		1
且		71
赞		1
实		96
氧		2
奇		11
绳		2
觉		61
键		18
斗		5
负		17
褴		2
债		1
慑		1
粉		15
都		137
载		56
菜		4
崖		1
宝		17
伸		7
进		153
组		102
惯		2
踢		3
标		79
期		31
净		1
棕		1
岸		3
价		14
输		34
岗		3
我		1649
恳		1
骨		2
畸		1
省		4
爽		2
棉		3
油		14
只		101
物		50
珍		1
魔		36
惧		4
心		119
钱		23
度		42
猫		2
目		160
儿		43
史		8
娱		1
缩		4
算		67
允		29
系		149
犹		4
笔		11
往		15
啸		1
巴		5
嘻		2
磨		4
耍		3
场		46
辩		1
果		172
首		13
闺		1
芽		2
务		355
薪		3
揭		5
迎		22
随		27
耐		3
跟		37
藏		15
透		12
挺		5
锋		2
屁		7
欢		47
蜜		3
特		41
懈		2
怒		2
先		50
设		151
因		63
念		3
俩		6
虚		16
谐		1
露		10
漓		1
潦		1
昂		6
密		164
接		175
炮		5
示		46
拥		13
库		48
驱		32
坨		2
核		16
喊		4
困		6
董		1
想		189
恨		2
金		14
剩		14
济		1
对		189
洗		2
整		39
否		22
停		26
易		21
署		6
作		220
五		6
憾		2
誓		3
裸		5
班		10
一		988
鲁		2
患		11
酯		1
处		50
共		23
支		19
裆		2
锁		5
纸		5
烦		20
什		140
洛		1
蔬		1
硕		3
造		30
数		118
坚		13
营		9
缓		6
啡		10
搬		2
酗		1
罗		4
找		101
反		31
番		8
灯		5
图		32
船		6
编		29
抬		2
协		20
滚		5
灌		1
概		9
躲		2
技		32
伏		3
诚		9
焦		1
踹		1
哭		3
为		271
链		12
右		3
城		9
礼		9
完		97
欧		7
衣		5
扁		1
院		5
廊		5
咖		10
酒		16
至		45
埋		7
命		74
蜴		1
项		125
加		176
超		13
观		6
骑		2
控		24
邻		2
笛		2
眯		1
雷		1
闷		2
虫		11
挪		1
椅		1
能		376
琳		1
忍		1
攻		31
宇		3
软		56
艰		2
闯		2
酵		4
归		2
损		10
土		6
破		68
典		5
住		24
著		7
团		22
雄		6
玩		46
存		91
迷		4
脚		10
浮		3
贡		7
哥		22
跪		1
插		7
少		34
众		10
狡		1
澜		1
栏		1
化		28
者		90
队		19
蜓		1
冗		1
许		74
歉		5
呵		14
杖		3
汉		10
佣		7
杂		56
印		8
稳		5
本		190
煌		1
看		176
宕		1
隶		1
坏		29
升		21
碎		9
鬼		17
爪		1
章		19
映		1
景		4
臀		3
咋		3
被		111
捷		2
碘		2
龙		1
高		58
捧		1
鸡		31
拽		1
殴		1
饵		1
撕		4
终		30
洋		2
咨		5
欣		1
吮		1
路		26
喝		13
员		137
疯		8
讯		2
溯		3
罪		4
确		54
祸		1
钻		2
遁		1
仓		2
悉		3
瞎		2
觎		1
欲		1
多		123
愚		3
述		9
奉		1
潮		3
层		17
托		3
课		2
冲		7
试		143
客		129
感		74
写		34
舞		3
涂		1
头		51
伊		5
校		24
愿		9
话		76
句		7
挡		3
仿		4
妖		1
狮		2
装		33
笨		2
框		3
无		95
刑		5
谦		1
内		107
镑		1
并		167
误		45
宣		7
惨		1
届		1
论		41
煮		1
痛		10
航		5
甲		5
虑		13
萝		1
环		12
炒		1
伙		18
乘		2
近		50
粘		1
瞪		1
消		25
走		32
米		2
下		232
听		28
鸭		17
留		27
盯		7
拔		2
笼		3
状		16
侵		26
思		26
断		19
群		11
区		15
救		9
悦		1
寂		3
遗		7
械		1
猾		1
肛		2
呐		3
滞		1
成		178
站		44
鳞		1
吨		1
用		372
办		40
准		63
神		9
享		23
谈		6
凌		3
野		5
缠		1
裕		1
远		40
呦		1
士		15
抵		1
在		746
具		52
混		14
替		3
声		53
惜		1
助		46
千		4
趣		13
沉		4
轨		1
催		1
剂		3
雾		2
炸		12
药		2
络		62
集		12
统		107
醛		1
差		11
回		111
效		27
赔		1
埃		1
贝		9
烧		2
春		1
发		236
错		72
牌		4
陆		6
尽		29
讽		2
鼠		4
约		10
茶		8
英		11
俚		1
贱		1
四		13
巷		1
分		69
卵		3
隔		4
央		5
砍		1
邮		80
计		96
吭		1
岩		1
囚		2
爆		7
估		16
教		29
蛤		1
援		1
脾		1
门		29
扮		6
副		6
股		6
周		30
摇		4
瑟		1
纪		3
让		82
殊		6
级		29
苏		1
黑		117
杰		1
嗅		2
暖		1
平		27
浸		2
嘴		6
寸		1
合		47
您		53
巾		3
欠		1
不		582
绪		1
勾		1
绿		8
碰		13
躺		1
将		138
胃		1
轻		17
昆		1
辜		1
旁		1
扔		5
档		21
告		66
通		91
商		24
企		7
牛		10
月		21
熨		1
演		7
喂		1
虐		2
二		26
兄		7
臂		1
踪		45
列		24
坪		1
今		21
幅		1
罢		2
际		20
倍		5
修		16
狂		5
酊		1
漂		10
敌		11
谁		15
恐		12
说		184
他		558
条		28
贵		13
信		115
导		11
违		4
孕		2
死		58
跌		3
胶		1
悼		1
辆		4
泻		1
脸		13
唷		1
季		2
恢		2
毒		21
里		193
恩		3
垃		6
与		39
伦		1
乐		9
帐		1
简		45
兰		1
换		14
败		4
卸		6
儒		1
筹		1
鱿		1
丸		2
望		101
养		3
饰		1
柔		3
瓶		1
单		47
碍		3
早		16
牟		1
木		6
魅		2
顿		5
粗		5
制		74
画		5
定		95
啥		8
钢		1
疑		17
碧		1
节		47
细		37
渗		3
巢		1
炭		1
母		10
丰		2
划		27
经		204
自		143
尴		4
甘		1
婚		2
熟		3
哲		1
识		23
郁		3
抚		5
趴		1
扑		2
吊		4
丢		7
肃		1
泛		6
噢		1
呀		2
臭		2
聚		3
杀		33
政		20
索		20
啃		19
晕		1
收		50
类		18
盲		1
仅		29
瓦		1
边		21
摸		1
赌		2
片		43
缝		3
截		2
帮		76
脱		12
吵		2
和		205
伴		9
斥		5
猴		1
池		2
酸		1
钟		14
杜		1
芯		12
庞		1
粹		1
墓		1
人		324
射		9
慌		3
嘛		8
兵		3
奋		8
过		237
骤		2
猛		2
账		27
漆		2
润		1
