Char	Numbers
的		2913
我		1649
你		1208
一		988
了		970
是		867
这		842
们		791
在		746
个		706
有		586
不		582
他		558
件		484
到		464
来		444
要		380
能		376
以		372
用		372
上		368
务		355
人		324
会		316
可		308
器		302
就		301
文		300
为		271
时		261
好		254
么		238
它		238
服		238
过		237
发		236
下		232
作		220
如		218
出		216
行		215
开		208
然		206
没		205
所		205
和		205
经		204
已		197
后		197
中		196
些		195
里		193
本		190
想		189
对		189
那		187
理		186
说		184
大		182
任		179
得		178
成		178
给		177
加		176
看		176
接		175
备		173
果		172
全		168
并		167
密		164
事		163
现		163
使		161
目		160
把		158
地		158
于		157
公		157
工		156
进		153
去		151
设		151
需		150
样		149
最		149
系		149
也		147
还		147
子		143
试		143
自		143
程		142
名		141
前		140
意		140
什		140
将		138
都		137
员		137
该		136
动		135
机		135
入		135
起		134
新		131
而		131
点		130
码		129
生		129
客		129
很		128
之		127
着		127
网		126
当		125
但		125
项		125
方		123
司		123
多		123
安		122
查		121
心		119
数		118
黑		117
家		116
法		116
信		115
问		114
知		114
手		113
记		112
提		112
正		111
被		111
回		111
请		109
解		107
内		107
统		107
吧		106
同		106
谢		105
明		105
道		105
真		103
位		102
组		102
情		101
电		101
只		101
找		101
望		101
部		100
录		100
运		99
据		99
完		97
管		96
连		96
实		96
计		96
无		95
定		95
重		94
种		94
应		92
其		92
题		91
存		91
通		91
户		90
调		90
希		90
者		90
更		89
序		88
做		88
次		87
从		87
息		86
令		86
天		84
保		84
测		84
或		84
小		84
够		83
常		83
学		82
让		82
邮		80
间		79
外		79
标		79
再		78
关		77
除		77
份		77
式		77
主		76
口		76
己		76
话		76
帮		76
复		75
命		74
许		74
感		74
制		74
脑		73
面		73
注		72
错		72
直		71
货		71
端		71
候		71
哈		71
且		71
代		69
力		69
分		69
破		68
向		67
供		67
游		67
算		67
戏		66
吗		66
何		66
告		66
受		65
传		64
操		64
因		63
准		63
取		62
品		62
络		62
西		61
打		61
织		61
觉		61
别		60
相		60
店		59
表		59
删		58
指		58
高		58
死		58
放		57
此		57
利		56
载		56
软		56
杂		56
由		55
活		55
量		55
太		55
比		55
性		55
非		54
求		54
确		54
等		53
东		53
声		53
您		53
具		52
啊		51
两		51
源		51
头		51
始		50
夹		50
第		50
身		50
线		50
物		50
先		50
处		50
近		50
收		50
功		49
干		49
追		49
快		48
结		48
见		48
包		48
色		48
库		48
获		47
恶		47
欢		47
合		47
单		47
节		47
号		46
产		46
未		46
版		46
止		46
场		46
示		46
玩		46
助		46
字		45
丁		45
置		45
妈		45
资		45
必		45
祝		45
她		45
星		45
至		45
误		45
踪		45
简		45
像		44
站		44
联		43
虽		43
权		43
几		43
证		43
白		43
火		43
儿		43
片		43
显		42
度		42
步		41
才		41
配		41
交		41
特		41
论		41
掉		40
决		40
封		40
刚		40
每		40
清		40
诉		40
办		40
远		40
认		39
喜		39
基		39
整		39
与		39
况		38
模		38
怎		38
老		38
改		38
持		37
限		37
建		37
便		37
跟		37
细		37
击		36
友		36
魔		36
极		35
防		35
年		35
医		35
界		35
巨		35
激		35
套		34
继		34
世		34
离		34
体		34
输		34
少		34
写		34
报		33
续		33
议		33
空		33
须		33
装		33
杀		33
亲		32
附		32
送		32
某		32
布		32
考		32
驱		32
图		32
技		32
走		32
展		31
叫		31
段		31
专		31
址		31
音		31
期		31
反		31
攻		31
鸡		31
日		30
原		30
失		30
战		30
台		30
速		30
业		30
即		30
案		30
立		30
造		30
终		30
周		30
父		29
料		29
争		29
变		29
切		29
允		29
编		29
坏		29
尽		29
教		29
门		29
级		29
仅		29
储		28
脏		28
容		28
初		28
款		28
流		28
化		28
听		28
条		28
足		27
根		27
按		27
寻		27
女		27
随		27
留		27
效		27
平		27
划		27
账		27
味		26
科		26
墙		26
疗		26
各		26
马		26
难		26
长		26
检		26
美		26
待		26
停		26
路		26
侵		26
思		26
二		26
警		25
读		25
呢		25
阻		25
招		25
气		25
朋		25
哪		25
花		25
搞		25
消		25
硬		24
访		24
言		24
带		24
光		24
护		24
拟		24
车		24
拿		24
启		24
控		24
住		24
校		24
商		24
列		24
参		23
逼		23
转		23
形		23
执		23
描		23
独		23
绝		23
及		23
格		23
象		23
强		23
视		23
研		23
扫		23
钱		23
共		23
享		23
识		23
固		22
市		22
乎		22
病		22
偷		22
麻		22
雇		22
迎		22
否		22
团		22
哥		22
术		21
尝		21
似		21
水		21
搏		21
深		21
选		21
译		21
究		21
易		21
升		21
档		21
月		21
今		21
毒		21
边		21
呃		20
曾		20
私		20
板		20
总		20
怪		20
型		20
烦		20
协		20
际		20
政		20
索		20
竞		19
领		19
签		19
忘		19
志		19
买		19
属		19
创		19
旦		19
满		19
摧		19
久		19
又		19
聘		19
费		19
国		19
率		19
支		19
队		19
章		19
断		19
啃		19
冰		18
致		18
策		18
影		18
历		18
惊		18
三		18
照		18
爱		18
键		18
伙		18
类		18
贴		17
眼		17
万		17
适		17
般		17
验		17
角		17
仍		17
补		17
达		17
努		17
盘		17
移		17
负		17
宝		17
鬼		17
层		17
鸭		17
轻		17
疑		17
箱		16
禁		16
南		16
响		16
维		16
登		16
严		16
傻		16
吓		16
添		16
底		16
块		16
值		16
例		16
毁		16
吃		16
紧		16
质		16
室		16
嘿		16
域		16
虚		16
核		16
酒		16
状		16
估		16
修		16
早		16
微		15
另		15
镜		15
害		15
威		15
枪		15
剧		15
贺		15
付		15
含		15
刻		15
称		15
蛋		15
责		15
隐		15
秘		15
漏		15
讨		15
